Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-08-18,The Lighthouse,2019,https://boxd.it/38NdiL,5,,Absolute masterpiece,,2022-08-17
2022-09-11,The Midnight Meat Train,2008,https://boxd.it/3dkHyB,0.5,,wow what a shit film,,
